LLRLRLLRRLRLRLLRRLRRRLRRRLRRLRRLRLRLRRRLLRLRRLRLRRRLRLLRRLRLRLLRRRLLRLRRRLRLRRLRRLRLLRRLRRLRLRLRLLRLLRRLRRLRRLRRLRRLRLLRLRLRRRLRRRLRRLRLRLRRLRRRLRLRRRLRLRLRLRRRLRRLRRLRRRLLLLRRLRRLRLRRRLRLRRRLRRLLLLRLRLRRRLRRRLRLRRLLRLRLRRRLRLRLRRRLRLLRRRLRRLRLRLRRRLRLLRRLLRRRLRRRLRRRLRRLRLRLRRRLRRRLRRRLLRRRR

NNN = (TNT, XDJ)
GKJ = (TQD, PDP)
VPC = (TST, FDJ)
MNG = (GQS, RVK)
JQF = (LLK, BQH)
HPS = (XDJ, TNT)
VSD = (GNK, HJS)
VGT = (KXR, FMP)
GQB = (GTX, HLC)
PLJ = (QCS, TVN)
BXM = (GMB, LBC)
XJQ = (NHG, NQD)
NKX = (KBJ, GTS)
PKT = (XFK, SKR)
HJB = (LRX, KQG)
SNM = (PLN, CJT)
LQD = (MTK, KMS)
KTN = (SSC, KPL)
LVJ = (CQJ, GPP)
GSV = (SNM, JKK)
CPH = (DCQ, FCP)
TDV = (JFD, HKH)
SBS = (NFC, CGC)
DBG = (GST, LGH)
LHS = (GHG, TRD)
BPP = (DLF, NJT)
TNT = (VNX, PTR)
VTN = (XHM, NMQ)
BRD = (KLF, HXJ)
TJT = (BVD, PFN)
GNK = (NMT, LLX)
DVH = (GQS, RVK)
KRJ = (QSP, TTQ)
KQC = (TNX, MDC)
XVS = (LRC, DLC)
XLP = (XCH, BJQ)
KQG = (LKK, TVP)
QHB = (JPL, JPL)
RGV = (SXB, FKH)
GSK = (JQN, THB)
XDT = (GLG, XKD)
XCT = (MMN, XDM)
KLF = (NPB, RRB)
XLT = (QRB, VHB)
HKS = (NNN, HPS)
NMT = (MSL, VXC)
PML = (NHN, FQH)
FMQ = (HGC, FBH)
JGG = (XTB, XTB)
KMC = (PPS, SVT)
GLG = (SPG, KFK)
QJN = (HJB, QCP)
SGH = (FDV, QPX)
DFM = (BFX, PNS)
CSK = (MDQ, GFX)
MXG = (MXC, BJV)
JTX = (SQN, JBK)
KFN = (VQM, PFH)
SFJ = (KDF, NKB)
JNK = (DLK, LHV)
DTG = (XHQ, DSR)
SHC = (FQV, HKK)
DBM = (VDP, PGK)
PNC = (LMH, RXH)
HXJ = (RRB, NPB)
MKS = (KMX, FKS)
NPA = (TPC, SNK)
LJK = (FPF, SHP)
LBH = (HQB, TTC)
JML = (LTN, SFS)
MXS = (FDL, SXH)
HHV = (VRL, JVC)
NQD = (KVJ, DXM)
HMA = (TVC, RBX)
BCP = (SQD, RGD)
SLP = (CQF, HXG)
KGF = (RPN, PKQ)
TGG = (VQM, PFH)
HQD = (MDV, GND)
BJX = (LCN, QMG)
NBQ = (NSV, VJR)
BBX = (KHG, FDC)
SSQ = (BNQ, MXX)
TST = (MJB, TDV)
JQL = (SDG, DLJ)
TVN = (SJM, KMC)
XHD = (DDG, RSG)
GQA = (NQS, CNH)
QFL = (QSQ, VVN)
THG = (FBM, VQX)
QLZ = (RBX, TVC)
TPM = (DQN, MGG)
QXV = (MTK, KMS)
VNX = (PTP, VSD)
STQ = (XDC, JFR)
XVQ = (PJM, MRN)
XTT = (BHF, RBR)
LQS = (DBB, HNR)
KXG = (FKS, KMX)
XCP = (MXK, DBX)
QRV = (JSK, STC)
VVG = (DRF, QNR)
FTC = (CSK, FPC)
GFV = (VSK, GFQ)
JSM = (LNC, XTF)
LJC = (JFG, XBK)
TQD = (XJQ, MFM)
HJS = (LLX, NMT)
CBP = (PTX, LGD)
LGT = (CTD, CTD)
HMP = (FQJ, KGC)
MSL = (MSD, BFL)
QPX = (QFH, JMK)
KBH = (MGF, TMH)
XMT = (MXC, BJV)
XGR = (KPF, DLH)
RGH = (MBM, KNT)
CDP = (BLG, NVN)
BLG = (TQC, DTD)
MSD = (RVP, RQP)
KXT = (CVM, JQL)
MRN = (MNX, PNC)
RLG = (BNP, VNR)
PSH = (XQG, SLP)
XTF = (NTT, VGT)
KVJ = (JVX, HPJ)
PGF = (KRJ, CRS)
VSV = (NKQ, PJG)
TLV = (QHJ, GFG)
BNP = (NFR, PGR)
XQG = (CQF, HXG)
KGC = (FKF, KCS)
HQF = (QPX, FDV)
PFN = (JGX, FMQ)
HFD = (DBG, CBD)
KQZ = (HXJ, KLF)
HPM = (VSV, LTR)
FGX = (SVR, GQB)
SGJ = (THB, JQN)
NKK = (QHB, QHB)
FLF = (RLC, MXP)
SRV = (QHM, LQS)
NPB = (BPG, CVQ)
VNR = (NFR, PGR)
FNF = (TXL, CXT)
PTB = (QXQ, BDK)
BXN = (HQF, SGH)
RGT = (MGN, GFN)
FSP = (VRK, QNN)
GHT = (PML, HTJ)
CBD = (LGH, GST)
LMH = (TJC, DNN)
PTP = (GNK, HJS)
XDC = (GHT, JTR)
HTJ = (NHN, FQH)
XFK = (NKX, HTV)
PBP = (CJJ, GKS)
KMX = (XSJ, PMK)
CVQ = (FKX, GXP)
SFV = (MXS, FLR)
BQH = (VMH, PKT)
NFR = (RTX, SBJ)
KCS = (XGR, JXT)
GND = (SFJ, DGL)
DTF = (JCC, LVC)
KLM = (XLP, QRQ)
VQV = (DNC, SST)
NKF = (KFN, TGG)
CJT = (LDP, QKM)
NPF = (TNC, LXF)
MHK = (MLX, NHX)
LGD = (DLP, CNJ)
MLF = (QKK, QRK)
LQB = (NKJ, SHN)
SNS = (KMV, HCG)
VPN = (HFV, LNX)
XTB = (XLT, VRF)
LNX = (HFB, QVF)
XGF = (NRN, KCF)
PNS = (JNQ, MCT)
BJG = (DNC, SST)
PQN = (SCL, VPX)
